0:Array[-0.004147071975619435,1574094727084]
1:Array[0.017096163685522442,1574094727088]
2:Array[0.008020224507238582,1574094727097]
3:Array[0.012960006434278172,1574094727101]
4:Array[0.009139376275892803,1574094727104]
5:Array[0.00560645035566518,1574094727108]
6:Array[0.007348634820336677,1574094727117]
7:Array[-0.0020155085510571435,1574094727121]
8:Array[0.014626700220394799,1574094727125]
9:Array[-0.006491760350231905,1574094727129]
10:Array[-0.01893245546509287,1574094727138]
11:Array[0.010435122815708086,1574094727142]
12:Array[0.0029575109350497147,1574094727146]
13:Array[-0.007756904116985975,1574094727149]
14:Array[0.011400966964894666,1574094727158]
15:Array[-0.006401167769743494,1574094727162]
16:Array[0.00949937063333733,1574094727171]
17:Array[-0.000621213907952476,1574094727166]
18:Array[0.009836533518919353,1574094727179]
19:Array[0.0016153372583473727,1574094727183]
20:Array[0.01161604689586829,1574094727187]
21:Array[-0.021364216021194045,1574094727191]
22:Array[-0.01597853777120497,1574094727199]
23:Array[0.026030939199795496,1574094727203]
24:Array[0.009963306085719312,1574094727207]
25:Array[0.013648970549842664,1574094727211]
26:Array[-0.001187230555621149,1574094727220]
27:Array[0.008954106364482173,1574094727224]
28:Array[0.0016405217087146345,1574094727229]
29:Array[-0.018417174057468098,1574094727233]
30:Array[0.007105074678844124,1574094727240]
31:Array[0.01069289178494427,1574094727245]
32:Array[-0.009547445363747815,1574094727249]
33:Array[-0.0009797880473880836,1574094727253]
34:Array[0.004537120288256967,1574094727262]
35:Array[-0.008004364978243859,1574094727266]
36:Array[-0.00758145918344279,1574094727270]
37:Array[0.026687720924277673,1574094727274]
38:Array[-0.010541646716890958,1574094727284]
39:Array[0.008937276900856314,1574094727289]
40:Array[0.0009910299836828193,1574094727293]
41:Array[-0.002637392327896066,1574094727297]
42:Array[-0.0062170261335818214,1574094727306]
43:Array[-0.008903145499885261,1574094727310]
44:Array[-0.014980764303546959,1574094727314]
45:Array[-0.013622220180128111,1574094727318]
46:Array[0.010649267030069002,1574094727325]
47:Array[-0.0012494745077854235,1574094727330]
48:Array[0.00023515150380231352,1574094727092]
49:Array[-0.007496740635667687,1574094727334]
50:Array[-0.007620733626981343,1574094727338]
51:Array[-0.016131259033667925,1574094727347]
52:Array[0.015226984987819332,1574094727351]
53:Array[-0.00021653073660025945,1574094727113]
54:Array[0.008949879752328265,1574094727355]
55:Array[0.008850971035563983,1574094727359]
56:Array[0.029618297955560476,1574094727368]
57:Array[0.026733485083147636,1574094727371]
58:Array[0.022382977997297267,1574094727379]
59:Array[0.0038206580650934213,1574094727375]
60:Array[0.0012867527616945498,1574094727388]
61:Array[-0.002513536619194872,1574094727392]
62:Array[-0.012426629167329166,1574094727396]
63:Array[-0.02124917389232222,1574094727400]
64:Array[-0.00047186880290743527,1574094727133]
65:Array[-0.030158691261419103,1574094727408]
66:Array[-0.01483023057088071,1574094727413]
67:Array[-0.047973834192590374,1574094727416]
68:Array[-0.0245090325658093,1574094727420]
69:Array[-0.02433859874292649,1574094727428]
70:Array[-0.03130889684275376,1574094727433]
71:Array[0.006878562451215535,1574094727154]
72:Array[-0.032218659525157234,1574094727437]
73:Array[-0.03485915362144646,1574094727441]
74:Array[-0.022989877719970662,1574094727449]
75:Array[-0.0361630636318141,1574094727453]
76:Array[-0.05387945768936492,1574094727457]
77:Array[-0.0345143013998922,1574094727461]
78:Array[-0.03552240114030966,1574094727469]
79:Array[-0.0030830737610853844,1574094727175]
80:Array[-0.037972307491368144,1574094727473]
81:Array[-0.021967839823055026,1574094727478]
82:Array[-0.04312157476701512,1574094727482]
83:Array[-0.07518814245998764,1574094727490]
